OT,Aviso,Fecha_Inicio,Fecha_Fin,Linea,Equipo,Titulo_Falla,Descripcion_Tecnica,Tipo_Mantenimiento,Puesto_Trabajo,Responsable
OT1000373,AV2000373,2024-04-02 22:42:00.000000,2024-04-03 00:06:00,Línea 4 - Alfajores,Túnel de frío,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000377,AV2000377,2024-04-03 07:27:00.000000,2024-04-03 09:04:00,Línea 4 - Alfajores,Robot paletizador,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000376,AV2000376,2024-04-03 10:06:00.000000,2024-04-03 11:55:00,Línea 4 - Alfajores,Inyectora - Formadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000375,AV2000375,2024-04-03 21:51:00.000000,2024-04-03 23:44:00,Línea 4 - Alfajores,Envasadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000378,AV2000378,2024-04-04 19:56:00.000000,2024-04-04 20:29:00,Línea 4 - Alfajores,Túnel de frío,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000379,AV2000379,2024-04-04 22:34:00.000000,2024-04-04 22:46:00,Línea 4 - Alfajores,Envasadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000380,AV2000380,2024-04-05 06:05:00.000000,2024-04-05 06:36:00,Línea 4 - Alfajores,Inyectora - Formadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000382,AV2000382,2024-04-06 07:43:00.000000,2024-04-06 08:45:00,Línea 4 - Alfajores,Inyectora - Formadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000383,AV2000383,2024-04-06 09:06:00.000000,2024-04-06 09:17:00,Línea 4 - Alfajores,Buffer,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000384,AV2000384,2024-04-06 13:35:00.000000,2024-04-06 15:12:00,Línea 4 - Alfajores,Inyectora - Formadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000381,AV2000381,2024-04-06 16:09:00.000000,2024-04-06 18:06:00,Línea 4 - Alfajores,Buffer,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000145,AV2000145,2024-04-07 06:14:19.297095,2024-04-08 10:29:19,Línea 1 - Galletas soda,Envasadora,Ajuste y Calibración,Limpieza profunda de componentes y verificación de aislamientos eléctricos.,Preventivo,MEC_01,Sistema Automático
OT1000385,AV2000385,2024-04-07 17:04:00.000000,2024-04-07 18:13:00,Línea 4 - Alfajores,Inyectora - Formadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000386,AV2000386,2024-04-08 09:13:00.000000,2024-04-08 09:43:00,Línea 4 - Alfajores,Inyectora - Formadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000219,AV2000219,2024-04-09 02:32:17.884237,2024-04-10 06:16:17,Línea 4 - Alfajores,Envasadora,Inspección de Rutina,Cambio de filtros y revisión de parámetros de operación estándar.,Preventivo,MEC_01,Sistema Automático
OT1000387,AV2000387,2024-04-09 05:32:00.000000,2024-04-09 06:57:00,Línea 4 - Alfajores,Bañadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000389,AV2000389,2024-04-10 03:41:00.000000,2024-04-10 04:48:00,Línea 4 - Alfajores,Robot paletizador,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000390,AV2000390,2024-04-10 10:27:00.000000,2024-04-10 10:58:00,Línea 4 - Alfajores,Envasadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000388,AV2000388,2024-04-10 14:46:00.000000,2024-04-10 16:43:00,Línea 4 - Alfajores,Robot paletizador,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000393,AV2000393,2024-04-11 00:34:00.000000,2024-04-11 02:12:00,Línea 4 - Alfajores,Envasadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000392,AV2000392,2024-04-11 06:19:00.000000,2024-04-11 07:17:00,Línea 4 - Alfajores,Envasadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000011,AV2000011,2024-04-11 07:21:57.287667,2024-04-11 23:15:57,Línea 5 - Galleta exportada,Envasado,Cambio de Consumibles,Ajuste de tensiones y calibración de sensores ópticos.,Preventivo,MEC_01,Sistema Automático
OT1000391,AV2000391,2024-04-11 20:42:00.000000,2024-04-11 21:50:00,Línea 4 - Alfajores,Buffer,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000394,AV2000394,2024-04-12 03:10:00.000000,2024-04-12 04:01:00,Línea 4 - Alfajores,Envasadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000396,AV2000396,2024-04-12 16:03:00.000000,2024-04-12 17:44:00,Línea 4 - Alfajores,Túnel de frío,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000395,AV2000395,2024-04-12 21:44:00.000000,2024-04-12 22:53:00,Línea 4 - Alfajores,Inyectora - Formadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000399,AV2000399,2024-04-13 04:00:00.000000,2024-04-13 05:29:00,Línea 4 - Alfajores,Buffer,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000397,AV2000397,2024-04-13 07:03:00.000000,2024-04-13 07:27:00,Línea 4 - Alfajores,Buffer,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000398,AV2000398,2024-04-13 08:58:00.000000,2024-04-13 10:09:00,Línea 4 - Alfajores,Bañadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000401,AV2000401,2024-04-14 01:19:00.000000,2024-04-14 02:30:00,Línea 4 - Alfajores,Envasadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000402,AV2000402,2024-04-14 08:33:00.000000,2024-04-14 09:29:00,Línea 4 - Alfajores,Robot paletizador,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000400,AV2000400,2024-04-14 10:20:00.000000,2024-04-14 11:31:00,Línea 4 - Alfajores,Envasadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000405,AV2000405,2024-04-15 01:01:00.000000,2024-04-15 02:01:00,Línea 4 - Alfajores,Inyectora - Formadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000404,AV2000404,2024-04-15 06:48:00.000000,2024-04-15 08:45:00,Línea 4 - Alfajores,Envasadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000403,AV2000403,2024-04-15 11:45:00.000000,2024-04-15 12:49:00,Línea 4 - Alfajores,Inyectora - Formadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000407,AV2000407,2024-04-16 10:18:00.000000,2024-04-16 11:31:00,Línea 4 - Alfajores,Robot paletizador,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000406,AV2000406,2024-04-16 14:21:00.000000,2024-04-16 14:33:00,Línea 4 - Alfajores,Robot paletizador,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000410,AV2000410,2024-04-17 04:28:00.000000,2024-04-17 06:18:00,Línea 4 - Alfajores,Túnel de frío,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000408,AV2000408,2024-04-17 19:41:00.000000,2024-04-17 20:41:00,Línea 4 - Alfajores,Túnel de frío,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000409,AV2000409,2024-04-17 20:30:00.000000,2024-04-17 20:46:00,Línea 4 - Alfajores,Túnel de frío,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000411,AV2000411,2024-04-18 16:53:00.000000,2024-04-18 17:23:00,Línea 4 - Alfajores,Bañadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000250,AV2000250,2024-04-19 08:14:23.890339,2024-04-21 05:08:23,Línea 3,Bañadora,Cambio de Consumibles,Ajuste de tensiones y calibración de sensores ópticos.,Preventivo,MEC_01,Sistema Automático
OT1000412,AV2000412,2024-04-19 23:43:00.000000,2024-04-20 00:10:00,Línea 4 - Alfajores,Robot paletizador,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000415,AV2000415,2024-04-20 00:03:00.000000,2024-04-20 00:16:00,Línea 4 - Alfajores,Buffer,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000414,AV2000414,2024-04-20 05:14:00.000000,2024-04-20 06:52:00,Línea 4 - Alfajores,Envasadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000413,AV2000413,2024-04-20 14:32:00.000000,2024-04-20 15:41:00,Línea 4 - Alfajores,Bañadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000417,AV2000417,2024-04-21 08:10:00.000000,2024-04-21 08:33:00,Línea 4 - Alfajores,Túnel de frío,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000418,AV2000418,2024-04-21 08:24:00.000000,2024-04-21 08:42:00,Línea 4 - Alfajores,Inyectora - Formadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000416,AV2000416,2024-04-21 17:26:00.000000,2024-04-21 19:05:00,Línea 4 - Alfajores,Robot paletizador,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000419,AV2000419,2024-04-22 21:04:00.000000,2024-04-22 22:06:00,Línea 4 - Alfajores,Envasadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000421,AV2000421,2024-04-23 17:58:00.000000,2024-04-23 18:09:00,Línea 4 - Alfajores,Túnel de frío,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000420,AV2000420,2024-04-23 23:50:00.000000,2024-04-24 01:23:00,Línea 4 - Alfajores,Envasadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000422,AV2000422,2024-04-24 02:01:00.000000,2024-04-24 03:42:00,Línea 4 - Alfajores,Buffer,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000423,AV2000423,2024-04-24 02:47:00.000000,2024-04-24 03:56:00,Línea 4 - Alfajores,Túnel de frío,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000425,AV2000425,2024-04-24 16:11:00.000000,2024-04-24 17:31:00,Línea 4 - Alfajores,Inyectora - Formadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000424,AV2000424,2024-04-24 17:39:00.000000,2024-04-24 18:32:00,Línea 4 - Alfajores,Bañadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000426,AV2000426,2024-04-25 04:54:00.000000,2024-04-25 05:11:00,Línea 4 - Alfajores,Robot paletizador,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000427,AV2000427,2024-04-25 22:47:00.000000,2024-04-25 23:43:00,Línea 4 - Alfajores,Inyectora - Formadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000254,AV2000254,2024-04-26 00:19:41.152408,2024-04-26 08:53:41,Línea 2 - Galleta tipo oblea,Arcoenfriador,Ajuste y Calibración,Limpieza profunda de componentes y verificación de aislamientos eléctricos.,Preventivo,MEC_01,Sistema Automático
OT1000428,AV2000428,2024-04-26 15:56:00.000000,2024-04-26 17:23:00,Línea 4 - Alfajores,Inyectora - Formadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000430,AV2000430,2024-04-27 04:33:00.000000,2024-04-27 06:03:00,Línea 4 - Alfajores,Bañadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000429,AV2000429,2024-04-27 12:56:00.000000,2024-04-27 13:41:00,Línea 4 - Alfajores,Inyectora - Formadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000431,AV2000431,2024-04-28 09:09:00.000000,2024-04-28 10:08:00,Línea 4 - Alfajores,Bañadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000190,AV2000190,2024-04-28 10:25:31.603853,2024-04-29 11:26:31,Línea 4 - Alfajores,Túnel de frío,Ajuste y Calibración,Limpieza profunda de componentes y verificación de aislamientos eléctricos.,Preventivo,MEC_01,Sistema Automático
OT1000432,AV2000432,2024-04-28 11:00:00.000000,2024-04-28 11:15:00,Línea 4 - Alfajores,Inyectora - Formadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000433,AV2000433,2024-04-29 06:39:00.000000,2024-04-29 07:42:00,Línea 4 - Alfajores,Robot paletizador,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000437,AV2000437,2024-04-30 02:47:00.000000,2024-04-30 04:42:00,Línea 4 - Alfajores,Envasadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000435,AV2000435,2024-04-30 03:30:00.000000,2024-04-30 03:43:00,Línea 4 - Alfajores,Túnel de frío,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000436,AV2000436,2024-04-30 09:55:00.000000,2024-04-30 10:58:00,Línea 4 - Alfajores,Buffer,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000434,AV2000434,2024-04-30 14:49:00.000000,2024-04-30 16:31:00,Línea 4 - Alfajores,Túnel de frío,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000440,AV2000440,2024-05-01 09:20:00.000000,2024-05-01 10:32:00,Línea 4 - Alfajores,Robot paletizador,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000439,AV2000439,2024-05-01 20:24:00.000000,2024-05-01 20:51:00,Línea 4 - Alfajores,Bañadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000438,AV2000438,2024-05-01 20:51:00.000000,2024-05-01 22:30:00,Línea 4 - Alfajores,Bañadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000441,AV2000441,2024-05-02 00:16:00.000000,2024-05-02 01:09:00,Línea 4 - Alfajores,Bañadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000442,AV2000442,2024-05-02 19:43:00.000000,2024-05-02 20:26:00,Línea 4 - Alfajores,Buffer,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000443,AV2000443,2024-05-02 23:39:00.000000,2024-05-03 01:02:00,Línea 4 - Alfajores,Buffer,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000445,AV2000445,2024-05-03 00:01:00.000000,2024-05-03 01:12:00,Línea 4 - Alfajores,Buffer,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000444,AV2000444,2024-05-03 06:16:00.000000,2024-05-03 08:05:00,Línea 4 - Alfajores,Buffer,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000299,AV2000299,2024-05-03 07:35:02.192741,2024-05-05 06:12:02,Línea 3,Túnel de frío,Inspección de Rutina,Cambio de filtros y revisión de parámetros de operación estándar.,Preventivo,MEC_01,Sistema Automático
OT1000447,AV2000447,2024-05-03 19:26:00.000000,2024-05-03 21:10:00,Línea 4 - Alfajores,Bañadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000446,AV2000446,2024-05-03 19:38:00.000000,2024-05-03 20:35:00,Línea 4 - Alfajores,Inyectora - Formadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000448,AV2000448,2024-05-04 01:50:00.000000,2024-05-04 02:14:00,Línea 4 - Alfajores,Buffer,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000450,AV2000450,2024-05-05 04:44:00.000000,2024-05-05 06:05:00,Línea 4 - Alfajores,Inyectora - Formadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000449,AV2000449,2024-05-05 20:17:00.000000,2024-05-05 21:44:00,Línea 4 - Alfajores,Bañadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000451,AV2000451,2024-05-05 20:42:00.000000,2024-05-05 22:18:00,Línea 4 - Alfajores,Envasadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000452,AV2000452,2024-05-06 01:58:00.000000,2024-05-06 03:09:00,Línea 4 - Alfajores,Inyectora - Formadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000453,AV2000453,2024-05-06 02:14:00.000000,2024-05-06 03:03:00,Línea 4 - Alfajores,Robot paletizador,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000226,AV2000226,2024-05-06 12:14:56.040503,2024-05-07 01:51:56,Línea 1 - Galletas soda,Robot paletizador,Ajuste y Calibración,Limpieza profunda de componentes y verificación de aislamientos eléctricos.,Preventivo,MEC_01,Sistema Automático
OT1000455,AV2000455,2024-05-07 14:07:00.000000,2024-05-07 15:09:00,Línea 4 - Alfajores,Robot paletizador,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000454,AV2000454,2024-05-07 22:54:00.000000,2024-05-07 23:27:00,Línea 4 - Alfajores,Bañadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000456,AV2000456,2024-05-08 06:56:00.000000,2024-05-08 07:31:00,Línea 4 - Alfajores,Envasadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000457,AV2000457,2024-05-09 08:02:00.000000,2024-05-09 09:40:00,Línea 4 - Alfajores,Túnel de frío,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000458,AV2000458,2024-05-10 16:11:00.000000,2024-05-10 17:20:00,Línea 4 - Alfajores,Robot paletizador,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000084,AV2000084,2024-05-10 17:04:57.307766,2024-05-11 07:23:57,Línea 5 - Galleta exportada,Robot empaquetador,Inspección de Rutina,Cambio de filtros y revisión de parámetros de operación estándar.,Preventivo,MEC_01,Sistema Automático
OT1000459,AV2000459,2024-05-11 08:50:00.000000,2024-05-11 10:48:00,Línea 4 - Alfajores,Envasadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000460,AV2000460,2024-05-11 15:25:00.000000,2024-05-11 16:15:00,Línea 4 - Alfajores,Inyectora - Formadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000461,AV2000461,2024-05-11 15:41:00.000000,2024-05-11 16:19:00,Línea 4 - Alfajores,Buffer,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000462,AV2000462,2024-05-12 03:23:00.000000,2024-05-12 03:47:00,Línea 4 - Alfajores,Bañadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000464,AV2000464,2024-05-13 07:51:00.000000,2024-05-13 08:45:00,Línea 4 - Alfajores,Envasadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000463,AV2000463,2024-05-13 11:09:00.000000,2024-05-13 12:23:00,Línea 4 - Alfajores,Envasadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000466,AV2000466,2024-05-13 15:51:00.000000,2024-05-13 17:29:00,Línea 4 - Alfajores,Robot paletizador,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000465,AV2000465,2024-05-13 21:51:00.000000,2024-05-13 23:11:00,Línea 4 - Alfajores,Envasadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000467,AV2000467,2024-05-14 05:00:00.000000,2024-05-14 05:18:00,Línea 4 - Alfajores,Inyectora - Formadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
