AUFNR,QMNUM,GSTRP,GLTRP,TPLNR,EQUNR,QMTXT,LTXTAUFK,AUART,ARBPL,ERNAM
4000376,20000376,2024-04-03 10:06:00+00:00,2024-04-03 11:55:00+0000,PGS-PR-LA4-INY01,10004004,Falla sens. prox,PARO MENOR POR DESALINEACIÓN DE MATERIAL. AJUSTE RÁPIDO REALIZADO.,PM03,SUP-LINEA,RFC_PM
4000375,20000375,2024-04-03 21:51:00+00:00,2024-04-03 23:55:00+0000,PGS-PR-LA4-ENV01,10004003,FALLA DE SENSOR,idem anterior,PM03,OPR-TURNO,SYS_SCADA
4000378,20000378,2024-04-04 19:56:00+00:00,2024-04-04 22:19:00+0000,PGS-PR-LA4-TDF01,10004005,RESET CICLO PROD,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,SYS_IIOT
4000379,20000379,2024-04-04 22:34:00+00:00,2024-04-05 00:59:00+0000,PGS-PR-LA4-ENV01,10004003,ATASCO L4,Se normalizo. OK,PM03,OPR-TURNO,RFC_PM
4000380,20000380,2024-04-05 06:05:00+00:00,2024-04-05 08:32:00+0000,PGS-PR-LA4-INY01,10004004,RESET CICLO PROD,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,OPR_T2
4000382,20000382,2024-04-06 07:43:00+00:00,2024-04-06 09:44:00+0000,PGS-PR-LA4-INY01,10004004,Rst. de ciclo,ok,PM03,SUP-LINEA,OPR_T2
4000383,20000383,2024-04-06 09:06:00+00:00,2024-04-06 12:03:00+0000,PGS-PR-LA4-BUF01,10004002,ATASCO L4,idem anterior,PM03,SUP-LINEA,SUP_LINEA
4000384,20000384,2024-04-06 13:35:00+00:00,2024-04-06 15:48:00+0000,PGS-PR-LA4-INY01,10004004,atasco menor,equipo normalizado,PM03,SUP-LINEA,BAT_USER
4000381,20000381,2024-04-06 16:09:00+00:00,2024-04-06 19:19:00+0000,PGS-PR-LA4-BUF01,10004002,reinicio de ciclo HMI,Se normalizo. OK,PM03,SUP-LINEA,SYS_IIOT
4000145,20000145,2024-04-07 06:14:19+00:00,2024-04-07 08:24:19+0000,PGS-PR-LA1-ENV01,10004003,CALIB. Y AJUSTE,Limpieza profunda de componentes y verificacion de aislamientos eléctricos.,PM02,INSP-GEN,RFC_PM
4000385,20000385,2024-04-07 17:04:00+00:00,2024-04-07 18:49:00+0000,PGS-PR-LA4-INY01,10004004,ATASCO L4,SENSOR DE PROXIMIDAD SUCIO. SE LIMPIÓ Y SE REINICIÓ LA MARCHA.,PM03,SUP-LINEA,SYS_SCADA
4000386,20000386,2024-04-08 09:13:00+00:00,2024-04-08 11:16:00+0000,PGS-PR-LA4-INY01,10004004,ATASCO PROD,revisar en prox turno,PM03,SUP-LINEA,OPR_T3
4000219,20000219,2024-04-09 02:32:17+00:00,2024-04-09 04:41:17+0000,PGS-PR-LA4-ENV01,10004003,Insp. de rutina,Cambio de filtros y revisión de parametros de operacion estandar.,PM02,ELE-PREV,BAT_USER
4000387,20000387,2024-04-09 05:32:00+00:00,2024-04-09 07:07:00+0000,PGS-PR-LA4-BAN01,10004001,SENSOR FALLA,revisar en prox turno,PM03,OPR-TURNO,BAT_USER
4000389,20000389,2024-04-10 03:41:00+00:00,2024-04-10 05:24:00+0000,PGS-PR-LA4-RPL01,10004006,RST CICLO,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,SUP-LINEA,SYS_IIOT
4000390,20000390,2024-04-10 10:27:00+00:00,2024-04-10 12:31:00+0000,PGS-PR-LA4-ENV01,10004003,MICRO PARO,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,SYS_SCADA
4000388,20000388,2024-04-10 14:46:00+00:00,2024-04-10 16:46:00+0000,PGS-PR-LA4-RPL01,10004006,FALLA DE SENSOR,revisar en prox turno,PM03,SUP-LINEA,BAT_USER
4000393,20000393,2024-04-11 00:34:00+00:00,2024-04-11 02:54:00+0000,PGS-PR-LA4-ENV01,10004003,RESET CICLO PROD,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,BAT_USER
4000392,20000392,2024-04-11 06:19:00+00:00,2024-04-11 09:02:00+0000,PGS-PR-LA4-ENV01,10004003,atasco producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,RFC_PM
4000011,20000011,2024-04-11 07:21:57+00:00,2024-04-12 16:00:57+0000,PGS-PR-LA5-ENV01,10005002,cambio consumibles,Ajuste de tensiones y calibracion de sensores opticos.,PM02,INSP-GEN,MEC_01
4000391,20000391,2024-04-11 20:42:00+00:00,2024-04-11 23:53:00+0000,PGS-PR-LA4-BUF01,10004002,ATASCO L4,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,BAT_USER
4000394,20000394,2024-04-12 03:10:00+00:00,2024-04-12 05:25:00+0000,PGS-PR-LA4-ENV01,10004003,MICRO PARO,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,OPR-TURNO,BAT_USER
4000396,20000396,2024-04-12 16:03:00+00:00,2024-04-12 18:42:00+0000,PGS-PR-LA4-TDF01,10004005,sensor - fallo temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,SUP-LINEA,BAT_USER
4000395,20000395,2024-04-12 21:44:00+00:00,2024-04-12 23:24:00+0000,PGS-PR-LA4-INY01,10004004,Atasco - producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,OPR-TURNO,SYS_IIOT
4000399,20000399,2024-04-13 04:00:00+00:00,2024-04-13 07:28:00+0000,PGS-PR-LA4-BUF01,10004002,ATSC PRODUCTO,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,RFC_PM
4000397,20000397,2024-04-13 07:03:00+00:00,2024-04-13 10:13:00+0000,PGS-PR-LA4-BUF01,10004002,REINICIO CICLO,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,RFC_PM
4000398,20000398,2024-04-13 08:58:00+00:00,2024-04-13 10:39:00+0000,PGS-PR-LA4-BAN01,10004001,MICRO PARO,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,SUP_LINEA
4000401,20000401,2024-04-14 01:19:00+00:00,2024-04-14 03:36:00+0000,PGS-PR-LA4-ENV01,10004003,ATASCO MENOR PROD.,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,SUP_LINEA
4000402,20000402,2024-04-14 08:33:00+00:00,2024-04-14 10:47:00+0000,PGS-PR-LA4-RPL01,10004006,micro-paro linea,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,OPR_T3
4000400,20000400,2024-04-14 10:20:00+00:00,2024-04-14 12:57:00+0000,PGS-PR-LA4-ENV01,10004003,micro paro op.,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,OPR-TURNO,SYS_IIOT
4000405,20000405,2024-04-15 01:01:00+00:00,2024-04-15 03:04:00+0000,PGS-PR-LA4-INY01,10004004,Atasco - producto,"Intervencion rapida, sin repuestos",PM03,SUP-LINEA,SYS_IIOT
4000404,20000404,2024-04-15 06:48:00+00:00,2024-04-15 08:58:00+0000,PGS-PR-LA4-ENV01,10004003,reinicio de ciclo HMI,revisar en prox turno,PM03,OPR-TURNO,OPR_T1
4000403,20000403,2024-04-15 11:45:00+00:00,2024-04-15 14:11:00+0000,PGS-PR-LA4-INY01,10004004,Micro paro - operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,RFC_PM
4000407,20000407,2024-04-16 10:18:00+00:00,2024-04-16 12:15:00+0000,PGS-PR-LA4-RPL01,10004006,sensor - fallo temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,OPR-TURNO,SUP_LINEA
4000406,20000406,2024-04-16 14:21:00+00:00,2024-04-16 15:55:00+0000,PGS-PR-LA4-RPL01,10004006,atasco producto,ok,PM03,SUP-LINEA,SUP_LINEA
4000410,20000410,2024-04-17 04:28:00+00:00,2024-04-17 06:55:00+0000,PGS-PR-LA4-TDF01,10004005,FALLA DE SENSOR,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,OPR-TURNO,SYS_SCADA
4000408,20000408,2024-04-17 19:41:00+00:00,2024-04-17 21:50:00+0000,PGS-PR-LA4-TDF01,10004005,sensor - fallo temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,SUP-LINEA,SUP_LINEA
4000409,20000409,2024-04-17 20:30:00+00:00,2024-04-17 22:34:00+0000,PGS-PR-LA4-TDF01,10004005,fallo sensor temp,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,SUP-LINEA,SYS_IIOT
4000411,20000411,2024-04-18 16:53:00+00:00,2024-04-18 18:17:00+0000,PGS-PR-LA4-BAN01,10004001,FALLA SENS. OPTICO,PARO MENOR POR DESALINEACIÓN DE MATERIAL. AJUSTE RÁPIDO REALIZADO.,PM03,SUP-LINEA,SYS_SCADA
4000250,20000250,2024-04-19 08:14:23+00:00,2024-04-19 09:54:23+0000,PGS-PR-LA3-BAN01,10004001,Cmb. Consumibles,Ajuste de tensiones y calibracion de sensores opticos.,PM02,ELE-PREV,SYS_IIOT
4000412,20000412,2024-04-19 23:43:00+00:00,2024-04-20 01:16:00+0000,PGS-PR-LA4-RPL01,10004006,MICROPARO,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,SUP_LINEA
4000415,20000415,2024-04-20 00:03:00+00:00,2024-04-20 03:11:00+0000,PGS-PR-LA4-BUF01,10004002,REINICIO CICLO,"MICRO-PARO SIN INTERVENCIÓN MECÁNICA MAYOR, EQUIPO RESETEADO DESDE HMI.",PM03,SUP-LINEA,SYS_IIOT
4000414,20000414,2024-04-20 05:14:00+00:00,2024-04-20 08:06:00+0000,PGS-PR-LA4-ENV01,10004003,reinicio,Ver OT anterior. reinicio,PM03,OPR-TURNO,SYS_IIOT
4000413,20000413,2024-04-20 14:32:00+00:00,2024-04-20 16:11:00+0000,PGS-PR-LA4-BAN01,10004001,FALLA DE SENSOR,FALLA DE SENSOR - sin novedad,PM03,SUP-LINEA,BAT_USER
4000417,20000417,2024-04-21 08:10:00+00:00,2024-04-21 10:11:00+0000,PGS-PR-LA4-TDF01,10004005,Rst. de ciclo,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,SYS_IIOT
4000418,20000418,2024-04-21 08:24:00+00:00,2024-04-21 10:21:00+0000,PGS-PR-LA4-INY01,10004004,reinicio de ciclo HMI,"MICRO-PARO SIN INTERVENCIÓN MECÁNICA MAYOR, EQUIPO RESETEADO DESDE HMI.",PM03,OPR-TURNO,SUP_LINEA
4000416,20000416,2024-04-21 17:26:00+00:00,2024-04-21 19:39:00+0000,PGS-PR-LA4-RPL01,10004006,atasco producto,SENSOR DE PROXIMIDAD SUCIO. SE LIMPIÓ Y SE REINICIÓ LA MARCHA.,PM03,OPR-TURNO,SYS_SCADA
4000419,20000419,2024-04-22 21:04:00+00:00,2024-04-22 23:33:00+0000,PGS-PR-LA4-ENV01,10004003,reinicio,"MICRO-PARO SIN INTERVENCIÓN MECÁNICA MAYOR, EQUIPO RESETEADO DESDE HMI.",PM03,OPR-TURNO,RFC_PM
4000421,20000421,2024-04-23 17:58:00+00:00,2024-04-23 20:41:00+0000,PGS-PR-LA4-TDF01,10004005,reinicio,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,SUP-LINEA,RFC_PM
4000420,20000420,2024-04-23 23:50:00+00:00,2024-04-24 02:15:00+0000,PGS-PR-LA4-ENV01,10004003,ATSC PRODUCTO,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,RFC_PM
4000422,20000422,2024-04-24 02:01:00+00:00,2024-04-24 04:29:00+0000,PGS-PR-LA4-BUF01,10004002,Falla sens. prox,Falla sens. prox - sin novedad,PM03,SUP-LINEA,RFC_PM
4000423,20000423,2024-04-24 02:47:00+00:00,2024-04-24 05:19:00+0000,PGS-PR-LA4-TDF01,10004005,Rst. de ciclo,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,SUP-LINEA,BAT_USER
4000425,20000425,2024-04-24 16:11:00+00:00,2024-04-24 17:51:00+0000,PGS-PR-LA4-INY01,10004004,FALLO SENS TEMP,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,SUP-LINEA,RFC_PM
4000424,20000424,2024-04-24 17:39:00+00:00,2024-04-24 18:59:00+0000,PGS-PR-LA4-BAN01,10004001,RESET CICLO PROD,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,SYS_SCADA
4000426,20000426,2024-04-25 04:54:00+00:00,2024-04-25 06:37:00+0000,PGS-PR-LA4-RPL01,10004006,reinicio de ciclo HMI,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,SUP-LINEA,SYS_SCADA
4000427,20000427,2024-04-25 22:47:00+00:00,2024-04-26 00:27:00+0000,PGS-PR-LA4-INY01,10004004,m.paro oper,Se normalizo. OK,PM03,OPR-TURNO,RFC_PM
4000254,20000254,2024-04-26 00:19:41+00:00,2024-05-01 00:25:41+0000,PGS-PR-LA2-ARC01,10002007,Ajuste/Calibracion,LIMPIEZA PROFUNDA DE COMPONENTES Y VERIFICACIÓN DE AISLAMIENTOS ELÉCTRICOS.,PM02,ELE-PREV,SYS_IIOT
4000428,20000428,2024-04-26 15:56:00+00:00,2024-04-26 17:54:00+0000,PGS-PR-LA4-INY01,10004004,Micro paro - operativo,"ATASCO DE PRODUCTO EN LA LÍNEA, RESUELTO POR EL OPERARIO DE TURNO EN POCOS MINUTOS.",PM03,OPR-TURNO,BAT_USER
4000430,20000430,2024-04-27 04:33:00+00:00,2024-04-27 06:12:00+0000,PGS-PR-LA4-BAN01,10004001,MICROPARO,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,SYS_SCADA
4000429,20000429,2024-04-27 12:56:00+00:00,2024-04-27 14:42:00+0000,PGS-PR-LA4-INY01,10004004,MICROPARO,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,BAT_USER
4000431,20000431,2024-04-28 09:09:00+00:00,2024-04-28 10:31:00+0000,PGS-PR-LA4-BAN01,10004001,ATASCO L4,ATASCO L4. resuelto,PM03,OPR-TURNO,RFC_PM
4000190,20000190,2024-04-28 10:25:31+00:00,2024-04-28 13:10:31+0000,PGS-PR-LA4-TDF01,10004005,CALIB. Y AJUSTE,Limpieza profunda de componentes y verificacion de aislamientos eléctricos.,PM02,INSP-GEN,MEC_01
4000432,20000432,2024-04-28 11:00:00+00:00,2024-04-28 12:40:00+0000,PGS-PR-LA4-INY01,10004004,ATSC PRODUCTO,Se normalizo. OK,PM03,SUP-LINEA,SYS_IIOT
4000433,20000433,2024-04-29 06:39:00+00:00,2024-04-29 08:13:00+0000,PGS-PR-LA4-RPL01,10004006,Falla sens. prox,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,OPR-TURNO,BAT_USER
4000437,20000437,2024-04-30 02:47:00+00:00,2024-04-30 05:18:00+0000,PGS-PR-LA4-ENV01,10004003,MICRO PARO,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,OPR-TURNO,RFC_PM
4000435,20000435,2024-04-30 03:30:00+00:00,2024-04-30 05:56:00+0000,PGS-PR-LA4-TDF01,10004005,Micro paro - operativo,"ATASCO DE PRODUCTO EN LA LÍNEA, RESUELTO POR EL OPERARIO DE TURNO EN POCOS MINUTOS.",PM03,OPR-TURNO,RFC_PM
4000436,20000436,2024-04-30 09:55:00+00:00,2024-04-30 12:56:00+0000,PGS-PR-LA4-BUF01,10004002,ATASCO PROD,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,OPR-TURNO,SYS_IIOT
4000434,20000434,2024-04-30 14:49:00+00:00,2024-04-30 17:08:00+0000,PGS-PR-LA4-TDF01,10004005,reinicio de ciclo HMI,sin observaciones,PM03,SUP-LINEA,BAT_USER
4000440,20000440,2024-05-01 09:20:00+00:00,2024-05-01 11:17:00+0000,PGS-PR-LA4-RPL01,10004006,REINICIO CICLO,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,SUP_LINEA
4000439,20000439,2024-05-01 20:24:00+00:00,2024-05-01 21:43:00+0000,PGS-PR-LA4-BAN01,10004001,Micro paro - operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,SYS_IIOT
4000438,20000438,2024-05-01 20:51:00+00:00,2024-05-01 22:22:00+0000,PGS-PR-LA4-BAN01,10004001,RESET CICLO PROD,"MICRO-PARO SIN INTERVENCIÓN MECÁNICA MAYOR, EQUIPO RESETEADO DESDE HMI.",PM03,OPR-TURNO,SYS_SCADA
4000441,20000441,2024-05-02 00:16:00+00:00,2024-05-02 01:36:00+0000,PGS-PR-LA4-BAN01,10004001,reinicio,Se normalizo. OK,PM03,OPR-TURNO,BAT_USER
4000442,20000442,2024-05-02 19:43:00+00:00,2024-05-02 22:17:00+0000,PGS-PR-LA4-BUF01,10004002,REINICIO CICLO,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,SUP-LINEA,BAT_USER
4000443,20000443,2024-05-02 23:39:00+00:00,2024-05-03 02:56:00+0000,PGS-PR-LA4-BUF01,10004002,ATASCO L4,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,BAT_USER
4000445,20000445,2024-05-03 00:01:00+00:00,2024-05-03 03:02:00+0000,PGS-PR-LA4-BUF01,10004002,SENSOR FALLA,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,OPR-TURNO,BAT_USER
4000444,20000444,2024-05-03 06:16:00+00:00,2024-05-03 09:29:00+0000,PGS-PR-LA4-BUF01,10004002,Falla sens. prox,"Intervencion rapida, sin repuestos",PM03,OPR-TURNO,BAT_USER
4000299,20000299,2024-05-03 07:35:02+00:00,2024-05-03 09:31:02+0000,PGS-PR-LA3-TDF01,10004005,INSP RUTINARIA,Cambio de filtros y revisión de parametros de operacion estandar.,PM02,ELE-PREV,FDIAZ
4000447,20000447,2024-05-03 19:26:00+00:00,2024-05-03 20:57:00+0000,PGS-PR-LA4-BAN01,10004001,MICRO PARO,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,RFC_PM
4000446,20000446,2024-05-03 19:38:00+00:00,2024-05-03 21:54:00+0000,PGS-PR-LA4-INY01,10004004,Rst. de ciclo,Ver OT anterior. Rst. de ciclo,PM03,SUP-LINEA,OPR_T3
4000448,20000448,2024-05-04 01:50:00+00:00,2024-05-04 04:17:00+0000,PGS-PR-LA4-BUF01,10004002,FALLA SENS. OPTICO,sin observaciones,PM03,OPR-TURNO,OPR_T3
4000450,20000450,2024-05-05 04:44:00+00:00,2024-05-05 06:45:00+0000,PGS-PR-LA4-INY01,10004004,FALLA DE SENSOR,FALLA DE SENSOR - sin novedad,PM03,SUP-LINEA,RFC_PM
4000449,20000449,2024-05-05 20:17:00+00:00,2024-05-05 21:47:00+0000,PGS-PR-LA4-BAN01,10004001,ATASCO L4,sin observaciones,PM03,SUP-LINEA,RFC_PM
4000451,20000451,2024-05-05 20:42:00+00:00,2024-05-05 22:50:00+0000,PGS-PR-LA4-ENV01,10004003,ATASCO PROD,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,BAT_USER
4000452,20000452,2024-05-06 01:58:00+00:00,2024-05-06 03:51:00+0000,PGS-PR-LA4-INY01,10004004,ATASCO L4,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,OPR_T1
4000453,20000453,2024-05-06 02:14:00+00:00,2024-05-06 04:12:00+0000,PGS-PR-LA4-RPL01,10004006,Micro paro - operativo,"Intervencion rapida, sin repuestos",PM03,SUP-LINEA,RFC_PM
4000226,20000226,2024-05-06 12:14:56+00:00,2024-05-06 14:13:56+0000,PGS-PR-LA1-RPL01,10004006,AJ. Y CALIBRACION,LIMPIEZA PROFUNDA DE COMPONENTES Y VERIFICACIÓN DE AISLAMIENTOS ELÉCTRICOS.,PM02,INSP-GEN,JCASTRO
4000455,20000455,2024-05-07 14:07:00+00:00,2024-05-07 15:49:00+0000,PGS-PR-LA4-RPL01,10004006,micro-paro linea,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,SYS_IIOT
4000454,20000454,2024-05-07 22:54:00+00:00,2024-05-08 00:22:00+0000,PGS-PR-LA4-BAN01,10004001,atasco menor,atasco menor - sin novedad,PM03,SUP-LINEA,RFC_PM
4000456,20000456,2024-05-08 06:56:00+00:00,2024-05-08 09:31:00+0000,PGS-PR-LA4-ENV01,10004003,ATASCO PROD,sin observaciones,PM03,OPR-TURNO,OPR_T3
4000457,20000457,2024-05-09 08:02:00+00:00,2024-05-09 10:32:00+0000,PGS-PR-LA4-TDF01,10004005,RESET CICLO PROD,revisar en prox turno,PM03,OPR-TURNO,SYS_IIOT
4000458,20000458,2024-05-10 16:11:00+00:00,2024-05-10 17:42:00+0000,PGS-PR-LA4-RPL01,10004006,Micro paro - operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,OPR-TURNO,SYS_SCADA
4000084,20000084,2024-05-10 17:04:57+00:00,2024-05-12 08:06:57+0000,PGS-PR-LA5-REM01,10005003,INSPECCION,Cambio de filtros y revisión de parametros de operacion estandar.,PM02,ELE-PREV,BAT_USER
4000459,20000459,2024-05-11 08:50:00+00:00,2024-05-11 11:10:00+0000,PGS-PR-LA4-ENV01,10004003,sensor - fallo temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,OPR-TURNO,OPR_T3
4000460,20000460,2024-05-11 15:25:00+00:00,2024-05-11 17:48:00+0000,PGS-PR-LA4-INY01,10004004,FALLO SENS TEMP,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,SUP-LINEA,OPR_T3
4000461,20000461,2024-05-11 15:41:00+00:00,2024-05-11 18:11:00+0000,PGS-PR-LA4-BUF01,10004002,Atasco - producto,sin observaciones,PM03,SUP-LINEA,SUP_LINEA
4000462,20000462,2024-05-12 03:23:00+00:00,2024-05-12 04:45:00+0000,PGS-PR-LA4-BAN01,10004001,RESET CICLO PROD,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,SUP-LINEA,SYS_SCADA
4000464,20000464,2024-05-13 07:51:00+00:00,2024-05-13 10:43:00+0000,PGS-PR-LA4-ENV01,10004003,reinicio de ciclo HMI,"MICRO-PARO SIN INTERVENCIÓN MECÁNICA MAYOR, EQUIPO RESETEADO DESDE HMI.",PM03,SUP-LINEA,RFC_PM
4000463,20000463,2024-05-13 11:09:00+00:00,2024-05-13 13:17:00+0000,PGS-PR-LA4-ENV01,10004003,ATASCO PROD,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,BAT_USER
4000466,20000466,2024-05-13 15:51:00+00:00,2024-05-13 18:05:00+0000,PGS-PR-LA4-RPL01,10004006,sensor - fallo temporal,PARO MENOR POR DESALINEACIÓN DE MATERIAL. AJUSTE RÁPIDO REALIZADO.,PM03,SUP-LINEA,SUP_LINEA
4000465,20000465,2024-05-13 21:51:00+00:00,2024-05-14 00:19:00+0000,PGS-PR-LA4-ENV01,10004003,FALLA SENS. OPTICO,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,OPR-TURNO,BAT_USER
4000467,20000467,2024-05-14 05:00:00+00:00,2024-05-14 06:44:00+0000,PGS-PR-LA4-INY01,10004004,ATASCO PROD,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,RFC_PM
4000468,20000468,2024-05-14 13:57:00+00:00,2024-05-14 16:22:00+0000,PGS-PR-LA4-TDF01,10004005,Atasco - producto,ok,PM03,SUP-LINEA,SUP_LINEA
4000469,20000469,2024-05-14 14:59:00+00:00,2024-05-14 17:25:00+0000,PGS-PR-LA4-INY01,10004004,RESET CICLO PROD,idem anterior,PM03,OPR-TURNO,SYS_SCADA
4000471,20000471,2024-05-15 08:34:00+00:00,2024-05-15 10:15:00+0000,PGS-PR-LA4-RPL01,10004006,reinicio de ciclo HMI,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,OPR_T1
4000470,20000470,2024-05-15 11:04:00+00:00,2024-05-15 13:38:00+0000,PGS-PR-LA4-ENV01,10004003,sensor - fallo temporal,"Intervencion rapida, sin repuestos",PM03,OPR-TURNO,SYS_IIOT
